PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,FriendStrength1,FriendStrength2,FriendStrength3,FriendStrength4,FriendStrength5,FriendStrength6,Politics1Name,Politics2Name,Politics3Name,Politics4Name,Politics5Name,Politics6Name,PoliticsStrength1,PoliticsStrength2,PoliticsStrength3,PoliticsStrength4,PoliticsStrength5,PoliticsStrength6
675,671,678,680,676,241,,4,4,4,3,2,,671,571,,,,4,2,,,,,
111,398,122,121,120,,,5,3,3,3,,,,,,,,,,,,,,
296,297,235,277,291,267,295,5,4,4,4,4,3,,,,,,,,,,,,
102,145,192,114,105,127,393,,,,,,,145,192,180,105,114,,,,,,,
165,200,162,170,,,,4,4,5,,,,170,146,,,,3,4,,,,,
522,530,527,528,524,526,523,3,3,3,3,3,3,530,527,,,,2,1,,,,,
545,553,592,578,541,555,567,4,4,5,3,4,3,586,,,,,2,,,,,,
439,438,446,436,440,442,441,4,3,4,3,2,1,441,,,,,2,,,,,,
394,218,608,606,291,240,,3,4,5,5,5,,240,,,,,3,,,,,,
667,717,536,218,670,,,4,4,5,5,,,670,,,,,2,,,,,,
426,419,,,,,,4,,,,,,,,,,,,,,,,,
674,670,679,673,248,,,5,4,3,5,,,670,,,,,3,,,,,,
406,408,428,318,,416,387,5,5,3,3,5,5,387,428,,,,2,3,,,,,
642,610,611,624,632,277,,5,4,4,3,3,,,,,,,,,,,,,
263,251,255,,,,,5,5,3,,,,251,255,,,,4,1,,,,,
313,516,304,310,319,340,311,5,5,4,4,4,5,516,304,319,,,4,4,2,,,,
676,526,241,671,680,524,288,5,5,5,5,5,5,526,675,,,,2,2,,,,,
409,401,400,429,432,433,468,4,4,5,3,4,3,,433,429,401,,3,2,2,3,,,
528,526,178,523,284,530,170,5,5,5,5,5,5,,,,,,,,,,,,
690,692,712,737,694,,,4,3,3,3,,,,,,,,,,,,,,
671,676,675,,,,,4,4,,,,,675,,,,,3,,,,,,
132,256,620,715,560,548,587,5,5,5,5,5,5,,,,,,,,,,,,
530,527,524,531,522,526,523,5,5,4,4,3,3,527,524,531,522,,4,3,1,2,,,
506,507,408,,,,,1,3,,,,,,,,,,,,,,,,
149,,170,165,193,183,,5,4,3,2,4,,170,164,,,,4,2,,,,,
407,,,,,,,,,,,,,,,,,,,,,,,,
649,657,605,,602,270,,5,3,4,3,4,5,657,,,,,3,,,,,,
408,428,417,430,416,506,,5,5,4,4,3,,428,506,417,406,413,3,2,4,2,3,,
467,453,461,456,,458,460,5,5,5,5,5,5,458,461,,456,460,1,2,2,2,2,1,
150,172,178,201,153,181,144,4,4,3,2,3,4,144,172,187,,,4,3,2,,,,
264,279,,,,,,5,,,,,,279,,,,,3,,,,,,
739,691,732,,,,,5,5,,,,,691,,,,,1,,,,,,
632,636,611,624,642,,,5,5,5,3,,,636,624,,,,2,2,,,,,
238,284,,,,,,5,,,,,,284,,,,,2,,,,,,
443,436,441,442,440,445,,4,5,5,2,2,,441,442,440,,,3,3,3,,,,
148,143,170,194,169,149,180,4,5,5,5,5,4,170,164,165,181,,3,4,4,3,,,
400,420,,,,,,4,5,4,,,,434,407,,,,3,2,,,,,
901,682,,,,,,,,,,,,,,,,,,,,,,,
646,640,608,607,655,611,,4,4,4,5,3,2,,,,,,,,,,,,
572,547,556,583,539,540,658,5,5,5,4,3,3,,,,,,,,,,,,
749,473,,,,,,5,,,,,,,,,,,,,,,,,
651,,,,,,,,,,,,,,,,,,,,,,,,
333,328,302,,,,,5,4,,,,,326,,,,,3,,,,,,
309,302,333,307,,,,4,4,4,,,,326,,,,,3,,,,,,
427,424,410,418,,,,5,5,3,,,,,,,,,,,,,,,
503,505,504,752,471,748,475,4,5,3,2,2,4,504,505,752,,,1,1,1,,,,
426,,,,,,,,,,,,,,,,,,,,,,,,
127,174,192,145,105,102,126,5,4,4,5,5,4,174,192,145,105,198,3,2,2,3,2,3,
351,344,346,,,,,5,4,,,,,344,,,,,4,,,,,,
615,611,652,653,662,651,656,4,4,4,4,5,5,,,,,,,,,,,,
441,442,110,440,438,,,5,4,4,4,,,439,440,442,,,3,4,4,,,,
504,503,505,,,,,3,2,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,,,,,,,,
469,478,468,472,477,473,474,5,5,5,4,4,3,468,478,472,470,,3,3,3,3,,,
903,583,540,539,572,585,547,5,2,2,3,4,1,583,,,,,1,,,,,,
116,124,,,,,,,,,,,,102,,,,,,,,,,,
684,683,403,,,,,5,4,,,,,683,,,,,1,2,,,,,
680,675,678,676,583,,,4,4,3,3,,,675,,,,,2,,,,,,
442,441,443,439,438,110,,5,4,4,4,4,,441,438,439,,,4,3,3,,,,
688,,,,,,,,,,,,,,,,,,,,,,,,
521,476,753,473,470,,,4,5,3,3,,,753,473,470,,,3,3,2,,,,
