PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,FriendStrength1,FriendStrength2,FriendStrength3,FriendStrength4,FriendStrength5,FriendStrength6,Politics1Name,Politics2Name,Politics3Name,Politics4Name,Politics5Name,Politics6Name,PoliticsStrength1,PoliticsStrength2,PoliticsStrength3,PoliticsStrength4,PoliticsStrength5,PoliticsStrength6
448,440,437,445,447,,,3,4,3,3,,,440,439,,,,2,2,,,,,
330,336,320,328,,,,3,3,4,,,,338,,,,,2,,,,,,
611,619,,,,,,5,,,,,,,,,,,,,,,,,
438,446,442,439,441,,,5,5,5,5,,,446,439,441,442,,4,4,3,4,,,
575,568,549,,,,,5,5,,,,,568,,,,,1,,,,,,
617,633,634,667,658,717,,5,5,3,5,4,,634,,,,,2,,,,,,
144,172,156,,187,,,5,5,,5,,,172,187,,,,3,3,,,,,
682,901,,,,,,5,,,,,,901,,,,,2,,,,,,
172,144,156,150,187,,,5,5,1,5,,,144,187,,,,4,3,,,,,
640,646,608,658,634,611,,5,4,3,3,3,,646,,,,,2,,,,,,
534,532,576,,591,562,544,4,4,4,4,3,3,,,,,,,,,,,,
440,439,436,445,446,441,447,5,5,5,4,3,3,439,436,445,441,446,4,4,4,2,3,3,
436,439,440,446,447,437,441,5,5,5,5,5,5,,,,,,,,,,,,
745,356,744,341,328,746,342,5,5,5,4,4,3,,,,,,,,,,,,
473,753,470,476,521,,,5,5,4,4,,,753,470,,,,3,3,,,,,
499,497,501,490,482,692,,5,4,2,3,5,,497,,,,,3,,,,,,
604,630,607,602,616,254,,5,5,5,5,3,,652,657,607,,,2,2,3,,,,
605,,,,,,,5,,,,,,657,,,,,2,,,,,,
500,494,672,491,486,,,5,2,5,2,,,494,,,,,2,,,,,,
517,321,,,,,,5,,,,,,321,512,513,515,514,2,3,3,3,2,,
301,332,413,319,340,304,322,5,4,4,4,4,4,299,413,332,,,2,2,3,,,,
589,571,534,554,,,,5,2,2,,,,571,,,,,2,,,,,,
247,257,286,251,261,264,,5,5,4,5,3,,257,261,,,,3,2,,,,,
496,349,659,502,487,,,5,5,4,4,,,349,,,,,3,,,,,,
350,347,603,211,,,,5,4,3,,,,,,,,,,,,,,,
688,736,701,705,,,,5,5,5,,,,736,701,,,,4,4,,,,,
255,263,261,247,286,251,,4,2,3,2,3,,270,,,,,1,,,,,,
603,607,281,614,,,,4,4,4,,,,,,,,,,,,,,,
691,739,736,730,731,,,5,3,4,5,,,719,730,732,739,731,4,4,4,3,3,,
641,634,617,,,,,5,5,5,,,,,,,,,,,,,,,
466,194,279,291,,,,4,4,4,,,,,,,,,,,,,,,
446,438,,,,,,5,,,,,,,,,,,,,,,,,
679,670,674,678,667,,,5,5,4,4,,,678,670,,,,4,4,,,,,
666,677,679,673,,,,,,,,,,677,,,,,,,,,,,
455,459,665,291,279,194,,5,4,4,4,4,,459,,,,,3,,,,,,
578,550,579,548,,,,4,4,3,,,,579,548,553,,,2,2,2,,,,
105,145,192,174,,,,4,4,4,,,,,,,,,,,,,,,
548,132,,560,564,574,587,5,,4,4,4,4,715,574,,,,1,1,,,,,
459,455,466,,,,,5,5,,,,,,,,,,,,,,,,
387,386,756,406,423,411,,5,5,4,5,5,,386,411,423,,,2,2,1,,,,
324,298,299,308,303,316,511,5,4,4,4,5,4,299,308,298,511,,2,2,2,2,,,
900,458,658,620,,,,5,4,4,,,,,,,,,,,,,,,
735,721,720,714,717,,,5,5,5,4,,,721,,,,,3,,,,,,
560,715,132,620,587,548,,5,5,5,4,4,,253,,,,,2,,,,,,
702,710,742,709,,,,5,4,3,,,,710,742,709,,,4,4,3,,,,
552,,561,579,584,,586,5,5,5,4,3,4,586,579,561,,,2,2,1,,,,
248,674,670,235,291,285,293,5,2,5,5,5,5,291,674,,,,2,2,,,,,
902,717,736,,,,,5,3,,,,,717,,,,,2,,,,,,
531,530,527,522,,,,4,4,4,,,,522,530,,,,2,3,,,,,
610,611,642,614,619,634,658,5,5,3,3,4,3,611,642,634,,,3,2,2,,,,
726,704,,,,,,4,,,,,,,,,,,,,,,,,
164,146,170,165,179,181,192,5,5,5,4,4,4,146,170,165,181,,3,3,3,3,,,
716,721,708,710,687,696,741,5,5,5,5,4,4,721,710,717,741,708,3,4,3,2,1,1,
509,506,507,508,,,,4,3,3,,,,,,,,,,,,,,,
251,261,257,247,286,235,,5,4,4,4,5,,261,257,,,,4,4,,,,,
