PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,FriendStrength1,FriendStrength2,FriendStrength3,FriendStrength4,FriendStrength5,FriendStrength6,Politics1Name,Politics2Name,Politics3Name,Politics4Name,Politics5Name,Politics6Name,PoliticsStrength1,PoliticsStrength2,PoliticsStrength3,PoliticsStrength4,PoliticsStrength5,PoliticsStrength6
3124,3125,3127,3126,3128,,,5,4,4,3,NA,NA,3125,,,,,,3,NA,NA,NA,NA,NA
3258,3259,3037,,,,,5,5,NA,NA,NA,NA,3037,,,,,,3,NA,NA,NA,NA,NA
3259,3028,3267,3258,3037,3264,,5,5,5,5,5,5,,,,,,,NA,NA,NA,NA,NA,NA
3092,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
3118,3105,3092,3170,3101,,,5,5,5,5,NA,NA,3105,3101,3092,,,,2,2,2,NA,NA,NA
3260,3114,3214,3171,3261,3198,3178,5,5,5,5,5,5,,,,,,,NA,NA,NA,NA,NA,NA
3043,3037,3259,3028,3258,,,5,4,5,3,NA,NA,3037,,,,,,1,NA,NA,NA,NA,NA
3209,3180,3195,3265,3213,3175,3185,5,3,3,3,3,2,3180,,,,,,4,NA,NA,NA,NA,NA
3028,3043,3259,3258,3047,3025,3034,5,4,4,5,5,3,3043,3047,,,,,3,4,NA,NA,NA,NA
3171,3198,3089,,,,,4,5,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
3180,3209,3155,3265,3177,3192,3195,5,5,4,4,3,3,3209,3265,3155,3180,3192,3195,4,2,2,4,3,3
3079,3118,,3077,3108,,,2,2,2,4,NA,NA,3092,,,,,,2,NA,NA,NA,NA,NA
3002,3263,3036,3014,3016,,,5,4,5,5,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
3187,,3189,,,,,4,5,NA,NA,NA,NA,,3189,,,,,3,3,NA,NA,NA,NA
3258,3259,3037,,,,,5,5,NA,NA,NA,NA,3021,3037,,,,,2,3,NA,NA,NA,NA
3192,3101,,,,,,4,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
